category,rank,model,provider,quality_score,cost_in_per_mtok_usd,cost_out_per_mtok_usd,usd_per_sec,cost_10min_usd,cost_1hr_usd,pass,pass_to_when
design,9,FLUX.2 Pro,Black Forest Labs,83,n/a,n/a,,,,,Cheaper photoreal than Max; per-image.
design,10,Imagen 4 / Gemini image,Google,82,n/a,n/a,,,,,Natural photos; Gemini-stack credits.
design,11,Reve 2.1,Reve,81,n/a,n/a,,,,,High quality at much lower $/image than GPT Image 2.
design,12,Nano Banana 2,Google,80,n/a,n/a,,,,,Free/cheap Gemini image path for drafts.

video_creation,1,MiniMax H3 Max,MiniMax / fal,94,n/a,n/a,0.080,48.00,288.00,yes,Current I2V arena leader; billed per second not tokens.
video_creation,2,Seedance 2.0 / 2.5,ByteDance,93,n/a,n/a,0.230,138.72,832.32,,"Image-to-video, long takes; per-second."
video_creation,3,Gemini Omni Flash,Google,92,n/a,n/a,0.100,60.00,360.00,,Conversational video in Gemini; credit-based.
video_creation,4,MiniMax H3,MiniMax,91,n/a,n/a,0.080,48.00,288.00,,Near-Max quality; cheaper MiniMax per-second path.
video_creation,5,Veo 3.1,Google,90,n/a,n/a,0.400,240.00,1440.00,,"Cinematic, native audio, 4K; Gemini/Veo credits."
video_creation,6,Wan 3.0,Alibaba,88,n/a,n/a,0.100,60.00,360.00,,Strong open-adjacent video; per-second / self-host.
video_creation,7,Grok Imagine Video 1.5,xAI,85,n/a,n/a,0.140,84.00,504.00,,Fast short-form + native audio; SuperGrok video credits.
video_creation,8,Kling 3.0,Kuaishou,84,n/a,n/a,0.168,100.80,604.80,,"Action, realistic motion; cheap per-second clips."
video_creation,9,Runway Gen-4.5,Runway,82,n/a,n/a,0.120,72.00,432.00,,Camera/motion control; Runway credits.
video_creation,10,Kling 3.0 Turbo,Kuaishou,80,n/a,n/a,0.090,54.00,324.00,,Fast multi-shot social clips; per-second.
video_creation,11,PixVerse V6,PixVerse,78,n/a,n/a,0.080,48.00,288.00,,Cheap testing and volume social video.
video_creation,12,Wan 2.7,Alibaba,76,n/a,n/a,0.080,48.00,288.00,,Open/self-host fallback. Do not start new work on Sora (API ends 24 Sep 2026).

browser_use,1,GPT-5.6 Sol,OpenAI,92,4.00,20.00,,,,,Hardest web tasks; BrowseComp 92.2. Default for tough browsing.
browser_use,2,Kimi K3,Moonshot,91,3.00,15.00,,,,yes,"Pass here first for most browser jobs — 91.2 BrowseComp, cheaper than Sol."
browser_use,3,Claude Opus 5,Anthropic,91,5.00,25.00,,,,,90.8 BrowseComp; use when judgment/reading quality matters more than cost.
browser_use,4,GPT-5.6 Terra,OpenAI,88,2.00,12.00,,,,,87.5 BrowseComp; Sol-class browsing at a lower token price.
browser_use,5,Qwen3.8 Max,Alibaba,86,2.00,6.00,,,,,OSWorld-Verified 86.1 — best computer-use / desktop GUI.
browser_use,6,Claude Fable 5,Anthropic,85,10.00,50.00,,,,,OSWorld 85; expensive for routine browsing.
browser_use,7,Claude Fable 5.1,Anthropic,84,10.00,50.00,,,,,Same family; reserve for browser+reasoning combos.
browser_use,8,GPT-5.6 Luna,OpenAI,83,0.20,1.20,,,,,83.3 BrowseComp; cheapest OpenAI browser pass.
browser_use,9,Claude Sonnet 5,Anthropic,81,2.00,10.00,,,,,Good enough for simple research browsing.
browser_use,10,Gemini 3.8 Flash,Google,80,0.75,3.75,,,,,Fast lookup/browse; weaker long web workflows.
browser_use,11,Grok 4.6,xAI,78,2.00,6.00,,,,,Fine for live-web questions; not a BrowseComp leader.
browser_use,12,GLM-5.3,Z.ai,76,1.40,4.40,,,,,Budget browser loops; verify extracts.

agent_development,1,GPT-5.6 Sol,OpenAI,92,4.00,20.00,,,,yes,"Build the agent here — Terminal-Bench 91.9, agentic score 92, Codex harness."
agent_development,2,Claude Opus 5,Anthropic,91,5.00,25.00,,,,,Claude Code production agents; SWE + tool use.
agent_development,3,Claude Fable 5.1,Anthropic,90,10.00,50.00,,,,,Hardest agent designs; ultracode / multi-agent scaffolding.
agent_development,4,Grok 4.6,xAI,88,2.00,6.00,,,,,Grok Build agents; best cheap agent runtime to implement in.
agent_development,5,Kimi K3,Moonshot,87,3.00,15.00,,,,,Cheap tool-calling agent cores; 88.3 Terminal-Bench.
agent_development,6,GPT-5.6 Terra,OpenAI,86,2.00,12.00,,,,,Build lighter Codex agents when Sol is overkill.
agent_development,7,Claude Fable 5,Anthropic,85,10.00,50.00,,,,,Known quantity if 5.1 is gated.
agent_development,8,GLM-5.3,Z.ai,84,1.40,4.40,,,,,Inexpensive agent loops; good for internal tools.
agent_development,9,GPT-6 Astra,OpenAI,83,10.00,50.00,,,,,New coding-agent index 67; try after Sol.
agent_development,10,Claude Sonnet 5,Anthropic,82,2.00,10.00,,,,,Everyday Claude Code; not the architecture model.
agent_development,11,Qwen3.8 Max,Alibaba,80,2.00,6.00,,,,,Open-adjacent agent stacks; computer-use agents.
agent_development,12,Gemini 3.8 Flash,Google,76,0.75,3.75,,,,,Fast prototypes only; weaker long-horizon agents.

position_of_agents,1,Claude Fable 5.1,Anthropic,94,10.00,50.00,,,,yes,Orchestrator: plans
position_of_agents,2,Claude Opus 5,Anthropic,92,5.00,25.00,,,,,Default dispatcher when Fable cost is not worth it.
position_of_agents,3,Grok 4.6,xAI,90,2.00,6.00,,,,,Tied top AA Agentic Index (59); cheap multi-agent lead.
position_of_agents,4,GPT-5.6 Sol,OpenAI,89,4.00,20.00,,,,,Positions tool/browser/coding workers; strong terminal orchestration.
position_of_agents,5,Claude Fable 5,Anthropic,86,10.00,50.00,,,,,Fallback orchestrator in the Fable line.
position_of_agents,6,GPT-5.6 Terra,OpenAI,84,2.00,12.00,,,,,Mid-weight dispatcher for Codex-style worker pools.
position_of_agents,7,Kimi K3,Moonshot,82,3.00,15.00,,,,,Cheap coordinator for browse/tool workers.
position_of_agents,8,GLM-5.3,Z.ai,81,1.40,4.40,,,,,Budget orchestrator for high-volume internal agents.
position_of_agents,9,GPT-6 Astra,OpenAI,80,10.00,50.00,,,,,Unproven as a lead; do not make it the default router yet.
position_of_agents,10,Claude Sonnet 5,Anthropic,78,2.00,10.00,,,,,Simple 2–3 agent routing only.
position_of_agents,11,Qwen3.8 Max,Alibaba,76,2.00,6.00,,,,,Routes computer-use workers well; weaker cross-domain planning.
position_of_agents,12,Gemini 3.8 Flash,Google,72,0.75,3.75,,,,,Too shallow for multi-agent positioning; use as a worker not a lead.
